LocationID,zone,borough,lat,lon,longitude,latitude
132,JFK Airport,Queens,175062.67758486557,1043488.1868617045,-73.78652986349012,40.64698510024821
133,Kensington,Brooklyn,172661.46367470387,990855.5089877855,-73.97619875860275,40.640589941044496
134,Kew Gardens,Queens,197284.97927258155,1031739.002250162,-73.82871239790784,40.70805097274517
135,Kew Gardens Hills,Queens,204694.61460670287,1033808.0664842709,-73.82119497835454,40.72837725250497
136,Kingsbridge Heights,Bronx,254530.65081090236,1010274.3202539552,-73.90591127838628,40.86526406538747
137,Kips Bay,Manhattan,209039.3538898732,990763.615736023,-73.97649469938301,40.74043892115907
138,LaGuardia Airport,Queens,221428.0449285067,1019251.3069710146,-73.873628438902,40.774375816732636
139,Laurelton,Queens,186064.8699170061,1055193.0494190822,-73.7442347963469,40.67709753140416
140,Lenox Hill East,Manhattan,218166.4343533099,996787.6630546568,-73.9547390603464,40.76548395144242
141,Lenox Hill West,Manhattan,218699.1927268597,995431.1975186544,-73.95963501136171,40.76694805479654
142,Lincoln Square East,Manhattan,221132.7753491493,989365.0684741096,-73.98153235360773,40.773633196128905
143,Lincoln Square West,Manhattan,221982.08549339892,987671.7097013488,-73.9876456908124,40.775965147319646
144,Little Italy/NoLiTa,Manhattan,201915.7902757445,985104.1485227022,-73.99691858884708,40.72088884086805
145,Long Island City/Hunters Point,Queens,210842.5649406597,998411.74313442,-73.94889156149159,40.74537934472369
146,Long Island City/Queens Plaza,Queens,214074.2966550756,1002305.987357746,-73.93482891700025,40.75424253686729
147,Longwood,Bronx,237923.2448208716,1012217.112268326,-73.89895654395085,40.81967568059164
148,Lower East Side,Manhattan,201205.26489160705,986773.5460915552,-73.99089636602756,40.718938301131104
149,Madison,Brooklyn,159666.94559370997,998651.5086685958,-73.94813561950728,40.6049134658026
150,Manhattan Beach,Brooklyn,150763.56700925966,999908.708734879,-73.94362868028261,40.58047335130059
151,Manhattan Valley,Manhattan,229997.644625548,993063.3768608609,-73.96816820440951,40.79796198028393
152,Manhattanville,Manhattan,237290.9067861937,997042.6288289689,-73.95378220824486,40.81797510016546
153,Marble Hill,Manhattan,258429.1415350053,1009034.6862684475,-73.91037864632285,40.875967791801536
154,Marine Park/Floyd Bennett Field,Brooklyn,155545.39617014467,1011301.6035144812,-73.90259516689072,40.59357106687244
155,Marine Park/Mill Basin,Brooklyn,163199.94683754715,1007772.0738285038,-73.91527729481503,40.61459130879868
156,Mariners Harbor,Staten Island,169323.09568286434,937831.39791572,-74.16723425044069,40.63130767438205
